Store,Theme,final_theme_score
건국대,시각적 요소,5.71
건국대,경험,2.93
건국대,다양성,4.76
건국대,특별함,4.91
어린이대공원역,분위기,0.21
어린이대공원역,사교 활동,8.53
어린이대공원역,시각적 요소,5.51
어린이대공원역,경험,3.43
어린이대공원역,다양성,5.58
어린이대공원역,특별함,6.59
아차산역,분위기,-0.08
아차산역,사교 활동,6.55
아차산역,시각적 요소,5.57
아차산역,경험,2.97
아차산역,다양성,4.5
아차산역,특별함,4.98
올림픽대교북단,분위기,1.6
올림픽대교북단,사교 활동,9.28
올림픽대교북단,시각적 요소,9.14
올림픽대교북단,경험,3.83
올림픽대교북단,다양성,5.99
올림픽대교북단,특별함,6.7
구의DT,분위기,1.3
구의DT,사교 활동,9.17
구의DT,시각적 요소,7.64
구의DT,경험,3.92
구의DT,다양성,5.64
구의DT,특별함,6.28
자양사거리,분위기,0.25
자양사거리,사교 활동,9.14
자양사거리,시각적 요소,7.29
자양사거리,경험,3.59
자양사거리,다양성,5.42
자양사거리,특별함,9.07
군자역,분위기,-0.4
군자역,사교 활동,6.4
군자역,시각적 요소,5.95
군자역,경험,2.92
군자역,다양성,4.64
군자역,특별함,5.54
광나루,분위기,0.32
광나루,사교 활동,8.85
광나루,시각적 요소,8.11
광나루,경험,4.05
광나루,다양성,5.94
광나루,특별함,7.19
건대스타시티,분위기,7.32
건대스타시티,사교 활동,12.48
건대스타시티,시각적 요소,12.73
건대스타시티,경험,4.59
건대스타시티,다양성,7.08
건대스타시티,특별함,8.91
구의역,분위기,-0.38
구의역,사교 활동,7.1
구의역,시각적 요소,6.74
구의역,경험,3.09
구의역,다양성,4.96
구의역,특별함,5.99
광장,분위기,2.7
광장,사교 활동,11.53
광장,시각적 요소,11.47
광장,경험,5.08
광장,다양성,7.52
광장,특별함,14.53
건국클래식,분위기,1.22
건국클래식,사교 활동,10.96
건국클래식,시각적 요소,8.25
건국클래식,경험,4.14
건국클래식,다양성,6.02
건국클래식,특별함,6.96
화양삼거리,분위기,27.78
화양삼거리,사교 활동,75.77
화양삼거리,시각적 요소,44.2
화양삼거리,경험,15.59
화양삼거리,다양성,48.26
화양삼거리,특별함,32.17
금천독산,분위기,1.69
금천독산,사교 활동,9.94
금천독산,시각적 요소,6.75
금천독산,경험,3.82
금천독산,다양성,5.19
금천독산,특별함,7.73
가산디지털,분위기,0.79
가산디지털,사교 활동,8.47
가산디지털,시각적 요소,6.29
가산디지털,경험,3.33
가산디지털,다양성,4.84
가산디지털,특별함,6.52
독산역,분위기,0.72
독산역,사교 활동,9.78
독산역,시각적 요소,6.27
독산역,경험,3.44
독산역,다양성,5.34
독산역,특별함,6.91
가산퍼블릭,분위기,12.72
가산퍼블릭,사교 활동,59.28
가산퍼블릭,시각적 요소,11.62
가산퍼블릭,경험,28.15
가산퍼블릭,다양성,32.09
가산퍼블릭,특별함,55.65
가산현대아울렛,분위기,4.58
가산현대아울렛,사교 활동,9.37
가산현대아울렛,시각적 요소,7.02
가산현대아울렛,경험,3.65
가산현대아울렛,다양성,5.97
가산현대아울렛,특별함,8.29
가산케이에스,분위기,8.08
가산케이에스,사교 활동,34.08
가산케이에스,시각적 요소,15.5
가산케이에스,경험,7.62
가산케이에스,다양성,16.81
가산케이에스,특별함,14.36
가산어반워크,분위기,43.45
가산어반워크,사교 활동,148.04
가산어반워크,시각적 요소,125.59
가산어반워크,경험,84.05
가산어반워크,다양성,122.6
가산어반워크,특별함,531.03
가산그레이트,분위기,4.89
가산그레이트,사교 활동,11.58
가산그레이트,시각적 요소,8.0
가산그레이트,경험,4.35
가산그레이트,다양성,6.41
가산그레이트,특별함,9.38
월계역,분위기,1.6
월계역,사교 활동,10.24
월계역,시각적 요소,8.55
월계역,경험,3.69
월계역,다양성,5.78
월계역,특별함,8.35
월계트레이더스,분위기,4.58
월계트레이더스,사교 활동,7.88
월계트레이더스,시각적 요소,6.59
월계트레이더스,경험,3.16
월계트레이더스,다양성,4.54
월계트레이더스,특별함,5.19
상계초교사거리,분위기,-1.02
상계초교사거리,사교 활동,5.65
상계초교사거리,시각적 요소,4.71
상계초교사거리,경험,2.43
상계초교사거리,다양성,4.19
상계초교사거리,특별함,4.0
공릉DT,분위기,0.51
공릉DT,사교 활동,7.92
공릉DT,시각적 요소,5.29
공릉DT,경험,3.17
공릉DT,다양성,4.74
공릉DT,특별함,5.2
노원마들역,분위기,-0.02
노원마들역,사교 활동,6.31
노원마들역,시각적 요소,6.07
노원마들역,경험,2.81
노원마들역,다양성,4.42
노원마들역,특별함,4.27
공릉역,분위기,-0.59
공릉역,사교 활동,6.96
공릉역,시각적 요소,5.67
공릉역,경험,2.94
공릉역,다양성,4.69
공릉역,특별함,4.85
은행사거리,분위기,0.71
은행사거리,사교 활동,9.14
은행사거리,시각적 요소,7.69
은행사거리,경험,3.18
은행사거리,다양성,4.8
은행사거리,특별함,5.54
노원KT,분위기,-0.29
노원KT,사교 활동,7.09
노원KT,시각적 요소,6.09
노원KT,경험,3.07
노원KT,다양성,4.72
노원KT,특별함,5.43
광운대,분위기,0.59
광운대,사교 활동,13.1
광운대,시각적 요소,9.92
광운대,경험,3.98
광운대,다양성,6.12
광운대,특별함,7.32
태릉입구역DT,분위기,-0.45
태릉입구역DT,사교 활동,8.39
태릉입구역DT,시각적 요소,4.95
태릉입구역DT,경험,3.23
태릉입구역DT,다양성,5.08
태릉입구역DT,특별함,4.97
노원상계,분위기,0.8
노원상계,사교 활동,8.09
노원상계,시각적 요소,5.55
노원상계,경험,3.5
노원상계,다양성,5.35
노원상계,특별함,5.74
방학역,분위기,0.14
방학역,사교 활동,6.55
방학역,시각적 요소,5.13
방학역,경험,2.76
방학역,다양성,4.33
방학역,특별함,4.74
창동역,분위기,8.1
창동역,사교 활동,17.95
창동역,시각적 요소,9.31
창동역,경험,6.37
창동역,다양성,11.5
창동역,특별함,13.53
노량진동,분위기,-0.57
노량진동,사교 활동,10.1
