Store,Theme,final_theme_score
가산현대아울렛,공간,3.34
가산현대아울렛,서비스,4.86
가산현대아울렛,청결도,8.7
가산현대아울렛,집중도,9.26
가산현대아울렛,가성비,1.73
가산케이에스,분위기,8.6
가산케이에스,공간,8.6
가산케이에스,서비스,11.01
가산케이에스,청결도,25.95
가산케이에스,집중도,24.42
가산케이에스,가성비,9.56
가산어반워크,분위기,40.38
가산어반워크,공간,74.61
가산어반워크,서비스,82.51
가산어반워크,청결도,149.41
가산어반워크,집중도,119.63
가산어반워크,가성비,128.7
가산그레이트,분위기,2.43
가산그레이트,공간,4.62
가산그레이트,서비스,5.46
가산그레이트,청결도,9.79
가산그레이트,집중도,10.59
가산그레이트,가성비,3.59
월계역,분위기,2.42
월계역,공간,3.79
월계역,서비스,4.9
월계역,청결도,8.05
월계역,집중도,8.51
월계역,가성비,2.28
월계트레이더스,분위기,1.08
월계트레이더스,공간,3.17
월계트레이더스,서비스,3.78
월계트레이더스,청결도,6.45
월계트레이더스,집중도,6.83
월계트레이더스,가성비,-0.09
상계초교사거리,분위기,0.92
상계초교사거리,공간,1.82
상계초교사거리,서비스,3.61
상계초교사거리,청결도,5.58
상계초교사거리,집중도,6.0
상계초교사거리,가성비,4.56
공릉DT,분위기,1.37
공릉DT,공간,2.19
공릉DT,서비스,3.94
공릉DT,청결도,6.75
공릉DT,집중도,7.41
공릉DT,가성비,0.45
노원마들역,분위기,0.93
노원마들역,공간,2.61
노원마들역,서비스,3.73
노원마들역,청결도,5.89
노원마들역,집중도,6.55
노원마들역,가성비,4.13
공릉역,분위기,1.44
공릉역,공간,2.54
공릉역,서비스,3.92
공릉역,청결도,6.43
공릉역,집중도,7.02
공릉역,가성비,3.64
은행사거리,분위기,1.91
은행사거리,공간,4.39
은행사거리,서비스,3.83
은행사거리,청결도,7.34
은행사거리,집중도,7.51
은행사거리,가성비,4.96
노원KT,분위기,1.35
노원KT,공간,2.92
노원KT,서비스,3.88
노원KT,청결도,6.82
노원KT,집중도,7.14
노원KT,가성비,4.59
광운대,분위기,3.26
광운대,공간,5.36
광운대,서비스,5.0
광운대,청결도,9.59
광운대,집중도,10.47
광운대,가성비,7.42
태릉입구역DT,분위기,1.91
태릉입구역DT,공간,1.57
태릉입구역DT,서비스,4.4
태릉입구역DT,청결도,6.49
태릉입구역DT,집중도,7.31
태릉입구역DT,가성비,4.39
노원상계,분위기,1.65
노원상계,공간,2.61
노원상계,서비스,4.72
노원상계,청결도,6.85
노원상계,집중도,7.61
노원상계,가성비,6.13
방학역,분위기,0.99
방학역,공간,1.58
방학역,서비스,3.6
방학역,청결도,6.1
방학역,집중도,6.24
방학역,가성비,1.89
창동역,분위기,4.42
창동역,공간,5.58
창동역,서비스,7.48
창동역,청결도,17.08
창동역,집중도,19.59
창동역,가성비,7.69
노량진동,분위기,2.42
노량진동,공간,3.23
노량진동,서비스,4.71
