Store,Theme,final_theme_score
가양역사거리,프라이버시,3.26
가양역사거리,서비스,4.19
가양역사거리,단체모임,3.58
가양역사거리,가성비,5.24
내발산,분위기,3.29
내발산,공간,6.16
내발산,프라이버시,5.02
내발산,서비스,5.37
내발산,단체모임,4.92
내발산,가성비,5.67
마곡웰튼,분위기,3.37
마곡웰튼,공간,5.39
마곡웰튼,프라이버시,4.73
마곡웰튼,서비스,5.17
마곡웰튼,단체모임,4.45
마곡웰튼,가성비,5.44
김포공항DT,분위기,3.78
김포공항DT,공간,8.13
김포공항DT,프라이버시,4.53
김포공항DT,서비스,6.42
김포공항DT,단체모임,7.1
김포공항DT,가성비,5.46
강서NC,분위기,4.99
강서NC,공간,6.55
강서NC,프라이버시,4.82
강서NC,서비스,4.91
강서NC,단체모임,4.83
강서NC,가성비,1.43
마곡나루공원,분위기,2.89
마곡나루공원,공간,4.48
마곡나루공원,프라이버시,0.97
마곡나루공원,서비스,4.59
마곡나루공원,단체모임,3.57
마곡나루공원,가성비,2.28
송정역,분위기,13.83
송정역,공간,61.54
송정역,프라이버시,20.31
송정역,서비스,16.04
송정역,단체모임,22.5
송정역,가성비,46.92
관악서울대입구R,분위기,2.63
관악서울대입구R,공간,5.34
관악서울대입구R,프라이버시,2.37
관악서울대입구R,서비스,4.2
관악서울대입구R,단체모임,3.89
관악서울대입구R,가성비,6.62
신림DT,분위기,1.84
신림DT,공간,5.48
신림DT,프라이버시,3.66
신림DT,서비스,4.61
신림DT,단체모임,4.57
신림DT,가성비,4.3
서울대역,분위기,1.6
서울대역,공간,4.7
서울대역,프라이버시,3.43
서울대역,서비스,4.28
서울대역,단체모임,3.97
서울대역,가성비,6.19
낙성대DT,분위기,1.55
낙성대DT,공간,6.34
낙성대DT,프라이버시,1.97
낙성대DT,서비스,4.4
낙성대DT,단체모임,4.71
낙성대DT,가성비,4.97
사당,분위기,3.37
사당,공간,6.19
사당,프라이버시,3.58
사당,서비스,4.54
사당,단체모임,4.76
사당,가성비,6.99
보라매대교,분위기,2.7
보라매대교,공간,4.98
보라매대교,프라이버시,3.33
보라매대교,서비스,4.27
보라매대교,단체모임,3.81
보라매대교,가성비,5.76
신림,분위기,2.13
