옵션,매장명,위도,경도
지하철 인접,엔터식스,37.56175811,127.0383328
지하철 인접,신금호역,37.55495378704588,127.02011077314176
지하철 인접,뚝섬역교차로,37.547754922352,127.045142362137
지하철 인접,왕십리역9번출구,37.5605427226347,127.035267332652
지하철 인접,성수,37.5444620830457,127.055413311106
지하철 인접,효창공원앞역,37.53897052967548,126.96313623522258
지하철 인접,서울역서부,37.555165,126.968446
지하철 인접,이태원역,37.534273,126.994789
지하철 인접,한강진역R,37.53716526852496,127.00101265422607
지하철 인접,신용산역,37.528702,126.966757
지하철 인접,용산파크타워,37.523818,126.970389
지하철 인접,남영동,37.542831,126.972242
지하철 인접,서울역동자동,37.551752,126.972694
지하철 인접,숙대입구역,37.544225782,126.971957017
지하철 인접,용산아이파크몰6F,37.529168352723765,126.96549423935371
지하철 인접,동부이촌동,37.52111,126.96905
지하철 인접,서울역사,37.55415699928705,126.97179361292846
지하철 인접,용산리첸시아,37.538571,126.967409
지하철 인접,상봉,37.597842,127.092509
지하철 인접,중랑역,37.5930326,127.07473579999998
지하철 인접,사가정역,37.579594,127.087966
지하철 인접,상봉역,37.59689,127.08647
지하철 인접,묵동,37.615368,127.076633
지하철 인접,양원역,37.6066536267232,127.106359790053
지하철 인접,중화역,37.60170912407773,127.07841136432036
